Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","kilotonnes","736.5729","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2014","2014","tonnes","103355","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.0787","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2014","2014","kilotonnes","0.0057","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","F1718","Cereals excluding rice","2014","2014","tonnes","72","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","20.432","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kilotonnes","3.0035","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","tonnes","147","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","02211","Raw milk of cattle","2014","2014","kg CO2eq/kg product","2.8779","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2014","2014","kilotonnes","8.9215","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","02211","Raw milk of cattle","2014","2014","tonnes","3100","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2014","2014","kg CO2eq/kg product","397.2937","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2014","2014","kilotonnes","6.3567","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21116","Meat of goat, fresh or chilled","2014","2014","tonnes","16","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2014","2014","kg CO2eq/kg product","274.4455","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2014","2014","kilotonnes","3.0189","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21115","Meat of sheep, fresh or chilled","2014","2014","tonnes","11","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2014","2014","kg CO2eq/kg product","22.98","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2014","2014","kilotonnes","0.3447","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21121","Meat of chickens, fresh or chilled","2014","2014","tonnes","15","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2014","2014","kg CO2eq/kg product","1.129","E","Estimated value"
